threshold_C,precision,recall,f1,accuracy,tp,fp,fn,tn
40.68,0.6263595649392194,1.0,0.7702596380802518,0.6263595649392194,979,584,0,0
41.63,0.6267605633802817,1.0,0.7705627705627706,0.6269993602047346,979,583,0,1
41.69,0.6271620755925689,1.0,0.7708661417322835,0.6276391554702495,979,582,0,2
41.86,0.6275641025641026,1.0,0.7711697518708153,0.6282789507357645,979,581,0,3
42.43,0.6279666452854393,1.0,0.7714736012608353,0.6289187460012795,979,580,0,4
42.8,0.6277278562259306,0.9989785495403473,0.7709893575088687,0.6282789507357645,978,580,1,4
43.02,0.628131021194605,0.9989785495403473,0.7712933753943217,0.6289187460012795,978,579,1,5
43.08,0.62853470437018,0.9989785495403473,0.7715976331360946,0.6295585412667947,978,578,1,6
43.22,0.6282958199356913,0.9979570990806946,0.771112865035517,0.6289187460012795,977,578,2,6
43.61,0.6287001287001287,0.9979570990806946,0.7714172917489143,0.6295585412667947,977,577,2,7
43.73,0.6291049581455248,0.9979570990806946,0.7717219589257505,0.6301983365323096,977,576,2,8
43.76,0.6295103092783505,0.9979570990806946,0.772026866851047,0.6308381317978247,977,575,2,9
43.78,0.6299161831076725,0.9979570990806946,0.7723320158102769,0.6314779270633397,977,574,2,10
43.86,0.6296774193548387,0.9969356486210419,0.7718465796757612,0.6308381317978247,976,574,3,10
43.95,0.6308985132514544,0.9969356486210419,0.772763262074426,0.6327575175943697,976,571,3,13
43.98,0.6313065976714101,0.9969356486210419,0.773069306930693,0.6333973128598848,976,570,3,14
43.99,0.6310679611650486,0.9959141981613892,0.7725832012678289,0.6327575175943699,975,570,4,14
44.06,0.6314766839378239,0.9959141981613892,0.7728894173602855,0.6333973128598849,975,569,4,15
44.15,0.6318859364873622,0.9959141981613892,0.7731958762886597,0.6340371081253998,975,568,4,16
44.16,0.6324675324675325,0.9948927477017364,0.7733227471218738,0.634676903390915,974,566,5,18
44.18,0.6328784925276153,0.9948927477017364,0.7736298649722002,0.6353166986564299,974,565,5,19
44.24,0.6332899869960988,0.9948927477017364,0.7739372268573699,0.635956493921945,974,564,5,20
44.31,0.6337020169160703,0.9948927477017364,0.7742448330683624,0.6365962891874601,974,563,5,21
44.36,0.6341145833333334,0.9948927477017364,0.7745526838966202,0.6372360844529751,974,562,5,22
44.43,0.634527687296417,0.9948927477017364,0.7748607796340492,0.6378758797184901,974,561,5,23
44.46,0.6353555120678408,0.9948927477017364,0.7754777070063693,0.6391554702495201,974,559,5,25
44.49,0.6357702349869452,0.9948927477017364,0.7757865392273995,0.6397952655150352,974,558,5,26
44.51,0.6366013071895424,0.9948927477017364,0.7764049422080509,0.6410748560460652,974,556,5,28
44.52,0.637434554973822,0.9948927477017364,0.7770243318707617,0.6423544465770953,974,554,5,30
44.56,0.6376146788990825,0.9938712972420838,0.7768463073852295,0.6423544465770953,973,553,6,31
44.57,0.6380327868852459,0.9938712972420838,0.7771565495207668,0.6429942418426103,973,552,6,32
44.6,0.6384514435695539,0.9938712972420838,0.777467039552537,0.6436340371081255,973,551,6,33
44.62,0.63887065003283,0.9938712972420838,0.7777777777777777,0.6442738323736404,973,550,6,34
44.66,0.6392904073587385,0.9938712972420838,0.7780887644942023,0.6449136276391555,973,549,6,35
44.71,0.6390532544378699,0.992849846782431,0.7776,0.6442738323736406,972,549,7,35
44.77,0.6394736842105263,0.992849846782431,0.7779111644657862,0.6449136276391555,972,548,7,36
44.87,0.6398946675444371,0.992849846782431,0.77822257806245,0.6455534229046705,972,547,7,37
44.89,0.6403162055335968,0.992849846782431,0.7785342410893071,0.6461932181701855,972,546,7,38
44.9,0.6407382992748847,0.992849846782431,0.778846153846154,0.6468330134357007,972,545,7,39
44.94,0.6405013192612137,0.9918283963227783,0.7783567134268536,0.6461932181701855,971,545,8,39
44.97,0.640924092409241,0.9918283963227783,0.7786688051323175,0.6468330134357007,971,544,8,40
44.99,0.6413474240422721,0.9918283963227783,0.7789811472121941,0.6474728087012155,971,543,8,41
45.18,0.6408730158730159,0.9897854954034729,0.7780008028904055,0.6461932181701856,969,543,10,41
45.21,0.6412971542025149,0.9897854954034729,0.7783132530120481,0.6468330134357005,969,542,10,42
45.22,0.6417218543046358,0.9897854954034729,0.7786259541984734,0.6474728087012157,969,541,10,43
45.26,0.6421471172962226,0.9897854954034729,0.7789389067524116,0.6481126039667306,969,540,10,44
45.27,0.6425729442970822,0.9897854954034729,0.7792521109770809,0.6487523992322457,969,539,10,45
45.3,0.6429993364299934,0.9897854954034729,0.7795655671761866,0.6493921944977608,969,538,10,46
45.34,0.6434262948207171,0.9897854954034729,0.7798792756539235,0.6500319897632757,969,537,10,47
45.37,0.6438538205980067,0.9897854954034729,0.7801932367149758,0.6506717850287908,969,536,10,48
